text,label
Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious,positive
Oh dear an evening of absolute hilarity I don't think I have laughed so much in a long time! 😂,positive
Been waiting all week for this game ❤️❤️❤️ #cheer #friday ❤️,positive
"@gardiner_love : Thank you so much, Gloria! You're so sweet, and thoughtful! You just made my day more joyful! I love you too! 😊💕",positive
"I feel so blessed to work with the family that I nanny for ❤️ nothing but love &amp; appreciation, makes me smile.",positive
"Today I reached 1000 subscribers on YT!! , #goodday, #thankful",positive
"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile",positive
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",positive
Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much ,positive
"@IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot",positive
I'm just still . So happy .\nA blast,positive
It's meant to be!! #happy #happy,positive
💥⚖️Yeah‼️ PAUL‼️⚖️💥  #glorious #BB18,positive
My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay ,positive
😱 @cailamarsai you've had me 😂 😂 the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo,positive
@iamTinaDatta love you so much #smile 😊😊,positive
"@WyoWiseGuy @LivingVertical however, REI did offer me the job today as well. Can't believe how exponentially freaking joyous I feel...!!!",positive
2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! #smiling,positive
@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs 珞,positive
"@luckiiCHARM_ Luckii, I'm changing in so many ways bc of Him!! It's a scary but joyful feeling, making me so strong.",positive
@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,positive
"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious",positive
"now that I have my future planned out, I feel so much happier #goals #life #happy #igotthis #yay",positive
Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;),positive
@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the #laughter,positive
@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday ,positive
@WSJNordics You make the world a more joyful place. #TheNiceBot,positive
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),positive
"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  ",positive
It's the #FirstDayofFall and I'm so happy. Sipping my #PumpkinSpice flavored coffee and #smiling! Happy Fall everyone! #amwriting,positive
Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice,positive
@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again),positive
LOVE LOVE LOVE  #fun #relaxationiskey,positive
"This is the day You've made, \n\nLet us rehoi rejoice and be glad with all that I am. \n\n😊💖\n\n#aja \nGood morning!!!!",positive
I #love to #laugh and share #laughter as way to share #joy,positive
second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL #cheering,positive
I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend,positive
the thought of you gets me through my day. the thought of your smile never fails at making me smile 💚,positive
"Today I reached 1000 subscribers on YT!! #happy, #goodday, #thankful",positive
Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious,positive
@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️,positive
@shwood @mpforstein OMD you 2 are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/Michael😀,positive
"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  🤗😍",positive
@ContourCosmetic well done ladies! A great award for an amazing team. A delight to present the award to you.,positive
Vals always smiling I love it #gbbo,positive
Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym #cheer #tumbling,positive
I love how cheery and adoring @JackHoward gets every time he produces new content.,positive
Good morning joyful people. Choose happiness to have a great day today #morning #joyful #happiness #grandmercurejktkemayoran,positive
Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed ,positive
"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake",positive
Thank you @twitter for the balloons today. #smile #goodday #48,positive
Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n#tears #laughter #moretears,positive
Today is the first time any math professor let us live early before the class time !!! #15 min #feelsgood #happy #wednesday #,positive
Food that gets delivered 😍🙌🏻 #cheering #happy,positive
You know you're in love when all you can do is smile whenever you talk about how he is to someone.,positive
What a #lively #lovely #shower 😇 ..,positive
"What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun #laughter",positive
@EmmyMitchell_  hahahaha you're ridiculous!!! But thank you a joyous evening xx,positive
I am so happy I have come across @HilltopBindery notebooks! #handmade would love to talk to you! #musthave #want #need #happy #amazing 📖🖋,positive
second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL ,positive
Made my night that @GordonReid91 Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray,positive
"By the way, I'm wearing the smile you gave me today. \n #you #me ",positive
@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,positive
"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",positive
Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! ,positive
"@MrHenvin Thank you, happy birthday to you as well!",positive
"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !",positive
"@ChrisBooker @ThePerezHilton On PHP54  and though the Kardashian stuff goes over my head, you're both hilarious, like gleeful little boys 😂😂",positive
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",positive
"May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah Mubarak😇 , good morning☕ @WaseemBadami",positive
